top_01 occurrence times 9435:	     shall
top_02 occurrence times 6581:	      LORD
top_03 occurrence times 6528:	       not
top_04 occurrence times 6401:	      them
top_05 occurrence times 5946:	      with
top_06 occurrence times 5387:	       all
top_07 occurrence times 4958:	      thou
top_08 occurrence times 4453:	       thy
top_09 occurrence times 4136:	        my
top_10 occurrence times 4076:	        me
top_11 occurrence times 4058:	       God
top_12 occurrence times 3982:	     which
top_13 occurrence times 3904:	      said
top_14 occurrence times 3847:	      thee
top_15 occurrence times 3846:	     their
top_16 occurrence times 3774:	      from
top_17 occurrence times 3757:	        ye
top_18 occurrence times 3704:	      will
top_19 occurrence times 3614:	      have
top_20 occurrence times 3365:	        as
top_21 occurrence times 2783:	      upon
top_22 occurrence times 2740:	       out
top_23 occurrence times 2712:	      were
top_24 occurrence times 2647:	       man
top_25 occurrence times 2581:	       but
top_26 occurrence times 2580:	    Israel
top_27 occurrence times 2565:	       you
top_28 occurrence times 2546:	     Psalm
top_29 occurrence times 2487:	        up
top_30 occurrence times 2476:	      king
top_31 occurrence times 2379:	      when
top_32 occurrence times 2368:	        by
top_33 occurrence times 2307:	      hath
top_34 occurrence times 2108:	       son
top_35 occurrence times 2085:	      came
top_36 occurrence times 2058:	        on
top_37 occurrence times 2039:	       one
top_38 occurrence times 2013:	       her
top_39 occurrence times 1975:	     house
top_40 occurrence times 1923:	      into
top_41 occurrence times 1862:	       had
top_42 occurrence times 1841:	    people
top_43 occurrence times 1775:	      come
top_44 occurrence times 1768:	      your
top_45 occurrence times 1766:	  children
top_46 occurrence times 1764:	Chronicles
top_47 occurrence times 1754:	      land
top_48 occurrence times 1729:	    before
top_49 occurrence times 1699:	       day
top_50 occurrence times 1672:	       men
top_51 occurrence times 1655:	       The
top_52 occurrence times 1647:	    Samuel
top_53 occurrence times 1638:	     shalt
top_54 occurrence times 1634:	        we
top_55 occurrence times 1606:	   against
top_56 occurrence times 1604:	       For
top_57 occurrence times 1576:	         s
top_58 occurrence times 1539:	     Kings
top_59 occurrence times 1533:	   Genesis
top_60 occurrence times 1514:	        at
top_61 occurrence times 1514:	  Jeremiah
top_62 occurrence times 1508:	      hand
top_63 occurrence times 1477:	      also
top_64 occurrence times 1442:	        us
top_65 occurrence times 1442:	      made
top_66 occurrence times 1437:	        no
top_67 occurrence times 1420:	      even
top_68 occurrence times 1417:	    saying
top_69 occurrence times 1398:	       But
